,Col,Row,ShortName,CountryCode,Continent,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,16,11,Afghanistan,AFG,Indian,Afghanistan,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,-3.98152700023436,3.98152700023436,3.4128191528383,4.14358145936131,6.34590567573504,-6.34590567573504,-6.34590567573504,-6.34590567573504,-6.34590567573504
1,11,10,Albania,ALB,Europe,Albania,4.19606850802538,7.0458441049344,6.92523217963026,5.33589627789091,4.22887989238631,5.00133314756953,3.11033741922536,3.47232901011837,3.10865137678158,2.86906756991665,4.31895664889773,4.8519489287956,5.37664051747254,4.24806216422323,4.0057861355291,2.2576822770573,2.69892642173124
2,9,12,Algeria,DZA,Africa,Algeria,-2.00595528003537,-2.00595528003537,-2.00595528003537,2.00595528003537,1.36760588193583,0.612825408414339,0.923680458074455,0.790085712929616,0.9408871849014,0.781035003902355,0.703257524848594,0.760465402653666,1.39222203614895,1.25200313981521,1.47520103960511,1.35936601175656,-1.35936601175656
3,22,19,American Samoa,ASM,Oceania,American Samoa,-1.71895143962183,1.71895143962183,11.9187481909043,5.07468240945921,6.74946004319655,10.1491931391454,6.82011935208866,1.72702623352849,5.26038926880589,3.55700997741299,8.98682531408955,9.03832248734635,3.62122035125837,5.42426817581861,5.4115482439526,7.20240560347156,5.39710067751604
4,7,7,Andorra,ADO,Europe,Andorra,-1.31157861602224,-1.31157861602224,-1.31157861602224,-1.31157861602224,1.31157861602224,-0.8743857440148266,-0.4371928720074133,0.0,1.19244941033377,0.0,0.0,1.19401559384366,0.0,0.0,0.0,0.0,-0.0
5,11,23,Angola,AGO,Africa,Angola,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,-4.35616230771724,4.35616230771724,4.84934940219914,-4.84934940219914,-4.84934940219914,-4.84934940219914,-4.84934940219914
6,5,15,Antigua and Barbuda,ATG,Central America,Antigua and Barbuda,5.98200612557427,8.22977532713357,5.79602624440684,5.72783613806376,4.53221840760506,3.36123155524184,12.1814819326475,18.6034295969622,17.3014122277731,17.0974877378955,6.33840758073547,-8.335720628046085,10.3330336753567,-10.3330336753567,-10.3330336753567,-10.3330336753567,-10.3330336753567
7,3,25,Argentina,ARG,South America,Argentina,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,-7.50787867761292,7.50787867761292,6.5341917070121,5.94256445075001
8,14,10,Armenia,ARM,Middle East,Armenia,2.96456723182394,2.88462641629421,2.27430265430896,2.5183858737109,2.76610238178078,1.94548678930613,2.67027209734663,2.62524820528486,3.33537352744978,3.35804671077594,1.94626163108541,2.46906625130713,2.25543925199919,2.17728716240385,2.47744492846378,2.57117879977374,2.97812576892127
9,3,18,Aruba,ABW,Central America,Aruba,-4.30579775667937,4.30579775667937,5.26360114535961,4.12298875454817,2.02558311473916,5.99814057642131,4.95874325610917,2.963841138115,4.93325308574981,3.942712388988,3.93433593327366,1.95976600393913,3.89950963666319,5.81468595850252,1.92687509032227,-1.92687509032227,-1.92687509032227
10,19,23,Australia,AUS,Oceania,Australia,1.8986840179112,1.80086361530481,1.87931404626532,1.73123056680996,1.51390367632459,1.27971362874757,1.3658276531591,1.21737762156303,1.22291243108291,1.20980503278894,1.04430077598329,1.10321271111009,1.06476911664782,1.05828200917561,1.03515840990808,0.991615137694165,0.941156077816376
11,10,6,Austria,AUT,Europe,Austria,1.01620021424475,0.864437865935072,0.79907435227033,0.611557058518183,0.718040649619895,0.654255995832147,0.736293918876102,0.54140008226875,0.695572667975703,0.609316230105527,0.689659354652448,0.886539074387011,0.927496974481388,0.722797571679952,0.52124236379937,0.530035926065519,0.655219649857976
12,15,10,Azerbaijan,AZE,Middle East,Azerbaijan,2.78231202989237,2.6594190584461,2.561309844189,2.18863943050406,2.37901298657029,2.24861060458815,2.2015725021277,2.16636192411452,2.1763999352521,-2.228531994670295,2.28066405408849,-2.2304659159932747,2.18026777789806,2.35474800839995,2.48322481675958,-2.31223828247118,2.14125174818278
13,3,10,Bahamas,BHS,Central America,Bahamas,24.8413844036389,14.1850990482788,16.8199329143445,15.835513355672,13.6423110074847,15.793517975757,18.1639519995236,22.7851651048118,20.9363420482052,24.5169871722614,26.0509045760908,34.6456864756334,29.8355817535258,31.5449051002015,32.1847140924565,37.7418971248947,28.4005573673349
14,15,14,Bahrain,BHR,Middle East,Bahrain,-1.29023194069521,1.29023194069521,1.08821625033327,0.385252038304326,0.843527971387531,0.449858744354273,0.730373304229696,0.386141012905798,0.538314537184077,1.09701956660976,0.886480527246382,0.547615564486035,0.307640955317459,0.380109334649019,0.523796446714562,-0.523796446714562,-0.523796446714562
15,18,13,Bangladesh,BGD,Indian,Bangladesh,2.54063567403752,2.74258287178701,2.56440914743118,2.49678099758464,2.76135400014078,2.50433830247179,2.86583009009328,2.62540521919819,2.75459667187466,2.80416615477397,2.62111307104527,2.5767985371581,2.64180174269399,2.7879443928149,2.83177572807987,2.50308797930552,-2.50308797930552
